,QTY,MANU,PART NUMBER
,1,CableWholesale,10UM-02103BK
,1,3M,10035
,1,ENS Multimedia,BB BLACK BOX
,1,Circuitco,
,,,
,1,Various,
,24,TDK,C2012Y5V1A106Z
,,Murata,GRM21BR71A106KE51L
,8,Tayo Yuden,JMK105BJ105KV-F
,,TDK,C1005X5R0J105K
,,NIC,NMC0402X5R105K6.3TRPF
,,Murata,GRM155R60J105KE19D
1,9,TDK,C1005X5R0J225K
,,TDK,C1005X5R0J225K050BC
,,AVX,04026D225KAT2A
14,2,Yageo,CC0402KRX7R9BB471
,,Murata,GRM155R71H471KA01D
10,99,TDK,C1005X5R0J104K
,,Murata,GRM155R60J104KA01D
,,NIC,NMC0402X5R104K6.3TRPF
,,Kemet,C0402C104K9PACTU
,,TDK,C1005X5R0J104K050BA
,4,TDK,C1005C0G1H180J
,,Murata,GRM1555C1H180JZ01D
,,NIC,NMC0402NPO180J50TRPF
,,Murata,GRM1555C1H180JA01D
,2,Yageo,CC0402KRX7R7BB102
,1,Cornell Dublier,AVE107M06D16T-F
7,1,Tayo Yuden,LMK105B7223KV-F
,2,TDK,C1005C0G1H300J
,,Murata,GRM1555C1H300JA01D
,16,Yaego,CC0402JRNPO9BN470
,,Tayo Yuden,UMK105CG470JV-F
7,5,Lite-On,LTST-C191TBKT
,2,NXP,"IP4283CZ10-TT,118"
,1,NXP,"RB751V40,115"
,6,Laird-Signal Integrity,LI0805H151R-10
,3,C&K,KMR231GLFS
,2,Panasonic,DMC564040R
,,"Diodes, Inc",DDC114YU-7-F
28,1,TE Connectivity,RXEF010
,3,Murata,LQM2HPN2R2MG0L
,1,FCI,68000-406HLF
27,2,MLE,SSHS-123-D-02-GT-LF     
,1,CUI,PJ-002A
,,CUI,PJ-002AH
,1,Hirose,UX60SC-MB-5ST(80)
,1,Link PP,LPJ0011BBNL
,1,FCI,87520-0010BLF
,1,ALPS,SCHA5B0200
,1,FCI,10118241-001RLF
,11,Stackpole,RMCF0402FT4K75
,,KOA,RK73H1ETTP4751F
,,Vishay,CRCW04024K75FKED
,,NIC,NRC04F4751TRF
,1,Yageo,RC0402FR-0712K1L
,2,CTS,73L3R10J
40,9,Yageo,RC0402FR-071K5L
,,NIC,NRC04F1501TRF
44,2,Panasonic,ERJ-2GEJ471X
,22,Stackpole,RMCF0402FT100K
,,Vishay,CRCW0402100KFKED
,,Yageo,RC0402FR-07100KL
,,NIC,NRC04F1003TRF
,11,Yageo,RC0402JR-07100RL
,,KOA ,RK73B1ETTP101J
,,ROHM, MCR01MZPF1000
,,STACKPOLE, RMCF0402JT100R
,,NIC,NRC04J101TRF
,1,Yageo,RC0402FR-0710RL
,,KOA ,RK73H1ETTP10R0F
,,STACKPOLE ,RMCF0402FT10R0
,,NIC,NRC04F10R0TRF
33,22,Yageo,RC0402JR-070RL
,,VISHAY TECHNOLOGY, CRCW04020000Z0ED
,,STACKPOLE ,RMCF0402ZT0R00
,,ROHM ,MCR01MZPJ000
,,KOA,RK73Z1ETTP
,,NIC,NRC040TRF
,1,Yageo,RC0402FR-0722RL 
,,KOA,RK73B1ETTP220J
,,Stackpole,RMCF0402JT33R0
,,Vishay,CRCW040222R0JNED
,,NIC,NRC04J220TRF
,34,Rohm,MCR01MZPJ103
,,KOA,RK73B1ETTP103J
,,ROHM,MCR01MRTJ103
,,Stackpole,RMCF0402JT10K0
,,Vishay,CRCW040210K0JNED
,1,Stackpole,RMCF0402FT1M00
,,Vishay,CRCW04021M00FKED
,,Yageo,RC0402FR-071ML
,,NIC, NRC04F1004TRF
32,5,Yageo,RC0402FR-0749R9L
,,KOA,RK73H1ETTP49R9F
,,NIC,NRC04F49R9TRF
35,1,Stackpole,RMCF0402FT280K
,,Vishay,CRCW0402280KFKED
,,NIC,NRC04F2803TRF
,1,Yageo, RC0402FR-07240RL
,,Stackpole,RMCF0402FT240R
,,ROHM,MCR01MZPF2400
,,Vishay,CRCW0402240RFKED
,,NIC,NRC04F2400TRF
,1,Yageo,RC0402FR-07470KL 
,,Stackpole,RMCF0402FT470K
,,Vishay,CRCW0402470KFKED
,,NIC,NRC04F4703TRF
,1,Yageo,RC0402FR-0727KL
,,NIC, NRC04F2702TRF
,4,Yageo,RC0402JR-0733RL
,,KOA,RK73B1ETTP330J
,,Stackpole,RMCF0402JT33R0
,,Vishay,CRCW040233R0JNED
,,NIC,NRC04J330TRF
,1,TI,TPS65217C
,1,TI,AM3358BZCZ100 
60,2,TI,TPD4S012DRY
,1,TI,TL5209D
,1,TI,TPS2051BDGN
,1,TI,SN74LVC1G74DCT
,1,TI,SN74LVC2G241DCU
,1,TI,SN74LVC1G06DCK
,1,Micron,MT41K256M16HA-125:E
,,Kingston,D2516EC4BXGGB
,1,Micron,MTFC4GLDEA 0M WT
,,Kingston,KE4CN2H5A-A58
,1,MicroChip,24LC32AT-I/OT
,1,SMSC,LAN8710A-EZC-TR 
,1,NXP,"TDA19988BHN/C1,557"
,1,TI,SN74LVC1G07DCK
,1,Citizen,CM200C-32.768KAZF-UT
,1,TXC,7A-25.000MAAJ-T
,,CTS,445C33D25M00000
,,ILS,ILCX03-25.000000M-TBA 
,1,TXC,7A-24.000MAAJ-T
,,CTS,445C33D24M00000
,,ILS,ILCX03-24.000000M-TBA
,1,Abracom,ASDMB-24.576MHZ-LC-T
,,ECS,ECS-2033-24.576-B
,,ILSI,ISM95-3161BH-24.576
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
