,,
,,
QTY,MAN,PART #
2,TDK,C2012Y5V1A106Z
1,,GRM31CR60J476ME19L
1,Kemet,C0402C104K4RACT
1,NXP,"PMEG1020EJ,115"
1,,LTST-C190GKT
2,MLE,SSHQ-123-D-08-F-LF
1,MLE,SSHQ-105-D-08-F-LF
4,Keystone,2460
2,,
1,,7447779006
1,Vishay,CRCW0402200KFKED
1,Vishay,CRCW0402100KFKED
1,Vishay,CRCW04021M74FKED
1,,ERJ-2RKF1803X
0,Vishay,CRCW04022M00FKED
2,Rohm,MCR01MZPJ103
0,Vishay,CRCW04021M00FKED
1,Yageo,RC0402JR-070RL
1,Yaego,RC0402FR-07510RL
2,Yaego,RC0402JR-075K6L
3,Stackpole Electronics,RMCF0402FT4K75
1,CTS,219-2MST
1,Omron,B3F-3100
1,,TPS61030RSA
1,ON,CAT24C256WI-G
1,,BB-BONE-BATT-PCB-01
