QTY,MAN,PART NUMBER
2,DK,CC0402JRNP09BN101
5,KEMMET,C0402C104K4RACT
1,PANASONIC,ECJ-0YB1C103K
1,MURATA,GRM188R60J475ME19D
2,TDK,C2012Y5V1A106Z
1,TDK,C1608X5R1A335
1,DIALIGHT,598-8170-107F
1,NORCOMP,190-009-263R001
2,MLE,SSHQ-123-D-08-G-LF
,MLE,SSHQ-123-D-08-F-LF
1,MLE,SSHQ-105-D-08-G-LF
,MLE,SSHQ-105-D-08-F-LF
2,YAEGO,RC0402FR-0733RL
2,YAEGO,RC0402JR-075K6L
3,STACKPOLE,RMCF0402FT4K75
1,PANASONIC,ERJ-2GEJ471X
4,DK,RC0402JR-070RL
1,PANASONIC,ERJ-3GEY0R00V
1,ROHM,MCR01MZPJ103
1,CTS,219-2MST
1,DK,ISO1050DUBR
1,ON,CAT24C256WI-G
1,RECOM,RSZ-3.305HP
DNI,,
