Quantity,MAN,PART #
6,TDK,C2012Y5V1A106Z
22,Kemet,C0402C104K4RACT
2,Lite-On Inc,LTST-C190GKT
2,MLE,SSHQ-123-D-08-F-LF
1,MLE,SSHQ-105-D-08-F-LF
2,Samtec,SFMH-115-02-L-D-WT
1,"Diodes, Inc",DDC114YU-7-F
0,,
2,Yageo,RC0603JR-070RL
1,Rohm,MCR01MZPJ103
1,,RC0402FR-0728KL
1,,ERJ-2RKF5622X
1,,RMCF0402FT44K2
1,,RMCF0402FT33K2
19,Yaego,RC0402FR-0733RL
0,,
1,Yageo,RC0402JR-070RL
0,,
2,Yageo,RC0402FR-07470RL
2,Yageo,RC0402FR-07100KL
1,CTS,219-2MST
2,TI,TPS73701DRBR
1,TI,SN74LVC1G07DCKR
1,QuickLogic,CSSP-FPUN86-6494
