QTY,MAN,PART #
1,,BB-BONE-LCD4-PCB-02
20,Kemet,C0402C104K4RACT
2,TDK,C2012Y5V1A106Z
2,,C2012X5R1H475K
1,,TMK105B7473KV-F
2,,LTST-C190GKT
1,,LQH32CN4R7M23L
2,MLE,BSTS-123-D-A-16-F-300-LF
1,HIROSE,FH19C-40S-0.5SH(05)
1,,DDC114YU-7-F
1,Diodes Inc.,BSS138-7-F
2,Yaego,RC0402JR-075K6L
3,Stackpole Electronics,RMCF0402FT4K75
10,Rohm,MCR01MZPJ103
42,Yaego,RC0402FR-0733RL
8,Stackpole Electronics,RMCF0402FT1K00
2,,ERJ-2GEJ471X
9,,RMCF0402ZT0R00
2,,RMCF0402JT100K
1,Yaego,RC0402FR-0710RL
1,,ERJ-2RKF1202X
1,Yaego,RC0603FR-072RL
4,Yaego,RC0603JR-070RL
1,CTS,219-2MST
1,,B3U-1100P
5,Omron,B3F-1000
1,Omron,B3F-3100
1,ON,CAT24C256WI-G
1,TI,SN74AVC32T245ZKER
1,TI,SN74LVC1G06DCKR
1,TI,TPS61080DRC
1,,NHD-4.3-480272MF-ATXI-T-1
DNI,,
