QTY,MAN,PART #
5,TDK,C2012Y5V1A106Z
20,Kemet,C0402C104K4RACT
1,,GRM1555C1H6R8DZ01D
2,,GRM31CR61E226KE15L
1,,GRM155R71H102KA01D
5,,GRM188F51H224ZA01D
1,,GRM155R71H222KA01D
2,,TMK107BJ105KA-T
1,,GRM188R60J475ME19D
2,,C2012X5R1H475K
1,,TMK105B7473KV-F
1,,MBRM120LT3G
1,,BAT54SWT1G
2,,LTST-C190GKT
2,MLE,BSTS-123-D-A-16-T-300-LF
0.25,MLE,BSTS-123-D-A-16-T-300-LF
1,MLE,SSHS-105-D-02-T-LF     
2,MLE,SSHS-123-D-02-T-LF     
1,,LQH32CN4R7M23L
1,,PJ-002A
1,,FH28-60S-0.5SH(05)
1,,SFW4R-1ST
1,JST,SM02B-BHSS-1-TB(LF)
1,,FMMT458TA
1,"Diodes, Inc",DDC114YU-7-F
0,Diodes Inc.,BSS138-7-F
20,Yaego,RC0402FR-0733RL
20,Yaego,RC0402FR-0710RL
0,,
2,,ERJ-2RKF62R0X
1,,ERJ-2RKF1960X
1,,ERJ-2RKF69R8X
1,,ERJ-2RKF40R2X
1,,ERJ-2RKF2370X
1,,ERJ-2RKF24R9X
1,,ERJ-2RKF1650X
1,,ERJ-2RKF64R9X
1,,ERJ-2RKF82R0X
1,,ERJ-2RKF2400X
13,Rohm,MCR01MZPJ103
1,,ERJ-2RKF4993X
1,,ERJ-2RKF4303X
1,,ERJ-2RKF3303X
2,,ERJ-2RKF1502X
0,,ERJ-2RKF1802X
2,,ERJ-2RKF5602X
1,,ERJ-2RKF7503X
1,,ERJ-2RKF6803X
1,,ERJ-2RKF1303X
1,,CRCW0402330RJNED
1,Yaego,RC0402FR-071RL
2,Yaego,RC0402JR-075K6L
3,Stackpole Electronics,RMCF0402FT4K75
0,Rohm,MCR01MZPJ103
8,Yageo,RC0402JR-070RL
0,Yageo,RC0402JR-070RL
1,,CRCW0402470RJNED
1,,ERJ-2RKF1003X
0,,
1,CTS,219-2MST
2,Omron,B3F-3100
5,Omron,B3F-1000
1,TI,SN74AVC32T245ZKER
1,TI,TPS65105PWPR
1,TI,TPS61080DRC
1,ON,CAT24C256WI-G
1,TF,TFC-S9700RTWV35TR-01
1,,BB-BONE-LCD7-PCB-04
