"Part";"Value";"Device";"Package";"Description";"";
"ADCH";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";
"ADCL";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";
"BR1";"NM";"J0402";"J0402";"Three terminal jumper made from two 0402, 0603, 0805, etc.";"";
"C1";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C2";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C3";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C4";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C7";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C10";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C11";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C12";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C13";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C14";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C15";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C16";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C18";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C20";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C21";"22p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C22";"22p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C23";"22pF_NM";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C24";"22pF_NM";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C25";"22p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C26";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C27";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C28";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C29";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C30";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C31";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C32";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C33";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C34";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C35";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C36";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C37";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C38";"1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C39";"22p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C40";"22p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C41";"10u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";
"C42";"10n";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";
"COMMUNICATION";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";
"D3";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";
"D4";"SS1P3L";"SS1P3L";"DO220AAL";"";"";
"D5";"SS1P3L";"SS1P3L";"DO220AAL";"";"";
"DEBUG";"STRIP 4x1V M";"PINHD-1X4";"1X04";"PIN HEADER";"";
"ERASE";"";"MYSMD_PB157";"SMD_157SW";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";
"F2";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";
"FID1";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";
"FID2";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";
"FID3";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";
"FID4";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";
"IC1";"LMV358IDGKR";"LMV358MMX";"MSOP08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";
"IC2";"LM2734Y";"LM2736Y";"SOT23-6";"";"";
"IC4";"NCP1117ST33T3G -3V3";"MC33269ST-3.3T3";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";
"IC6";"ATMEGA16U2-MU";"ATMEGA16U2-MU";"MLF32";"";"";
"IC10";"74LVC1G125DCK";"74LVC1G125DCK";"SC70-5";"Single Bus Buffer Gate with 3-State Output";"";
"ICSP1";"3x2M";"PINHD-2X3";"2X03";"PIN HEADER";"";
"J3";"USB-MICRO B";"MYCON2_USB-MINI-B";"CON2_USB_MICRO_B_AT";"";"";
"JP5";"2x2M - NM";"PINHD-2X2";"2X02";"PIN HEADER";"";
