Manufacturer            , MPN                   , Quantity
Panasonic               , ERJ-3GEY0R00V         , 100
Panasonic               , ERJ-3EKF10R0V         , 100
Panasonic               , ERJ3EKF12R0V          , 100
Panasonic               , ERJ-3EKF15R0V         , 100
Panasonic               , ERJ-3EKF22R0V         , 100
Panasonic               , ERJ-3EKF33R2V         , 100
Panasonic               , ERJ-3EKF47R0V         , 100
Panasonic               , ERJ-3EKF49R9V         , 100
Panasonic               , ERJ-3EKF56R2V         , 100
Panasonic               , ERJ-3EKF68R1V         , 100
Panasonic               , ERJ-3EKF75R0V         , 100
Panasonic               , ERJ-3EKF82R5V         , 100
Panasonic               , ERJ-3EKF1000V         , 100
Panasonic               , ERJ3EKF1200V          , 100
Panasonic               , ERJ-3EKF1500V         , 100
Panasonic               , ERJ-3EKF2200V         , 100
Panasonic               , ERJ-3EKF3300V         , 100
Panasonic               , ERJ-3EKF3900V         , 100
Panasonic               , ERJ-3EKF4700V         , 100
Panasonic               , ERJ-3EKF5600V         , 100
Panasonic               , ERJ-3EKF6810V         , 100
Panasonic               , ERJ-3EKF8200V         , 100
Panasonic               , ERJ-3EKF1001V         , 100
Panasonic               , ERJ3EKF1201V          , 100
Panasonic               , ERJ-3EKF1501V         , 100
Panasonic               , ERJ-3EKF2001V         , 100
Panasonic               , ERJ-3EKF3601V         , 100
Panasonic               , ERJ-3EKF4701V         , 100
Panasonic               , ERJ-3EKF5600V         , 100
Panasonic               , ERJ-3EKF6800V         , 100
Panasonic               , ERJ-3EKF8200V         , 100
Panasonic               , ERJ-3EKF1002V         , 100
Panasonic               , ERJ3EKF1202V          , 100
Panasonic               , ERJ-3EKF1502V         , 100
Panasonic               , ERJ-3EKF2202V         , 100
Panasonic               , ERJ-3EKF3322V         , 100
Panasonic               , ERJ-3EKF4702V         , 100
Panasonic               , ERJ-3EKF5622V         , 100
Panasonic               , ERJ-3EKF6812V         , 100
Panasonic               , ERJ-3EKF8252V         , 100
Panasonic               , ERJ-3EKF1003V         , 100
Panasonic               , ERJ3EKF1203V          , 100
Panasonic               , ERJ-3EKF1503V         , 100
Panasonic               , ERJ-3EKF2203V         , 100
Panasonic               , ERJ-3EKF3323V         , 100
Panasonic               , ERJ-3EKF4703V         , 100
Panasonic               , ERJ-3EKF5623V         , 100
Panasonic               , ERJ-3EKF6813V         , 100
Panasonic               , ERJ-3EKF8253V         , 100
Panasonic               , ERJ-3EKF1004V         , 100
Bourns                  , TC33X-2-103E          , 100
Vishay                  , VJ0402A2R2CNAAJ       , 100
Kemet                   , C0603C829J5GACTU      , 100
Kemet                   , C0603C180J5GACTU      , 100
Kemet                   , C0603C220J5GACTU      , 100
Kemet                   , C0603C270J5GACTU      , 100
Kemet                   , C0603C102J5GACTU      , 100
AVX                     , 06035C102JAT2A        , 100
AVX                     , 06035C472JAT2A        , 100
AVX                     , 06035C103JAT2A        , 100
AVX                     , 06035C473JAT2A        , 100
AVX                     , 06035C104JAT2A        , 100
AVX                     , 0603YC105KAT2A        , 100
AVX                     , 1206YC106KAT2A        , 100
Murata                  , GRM32ER71E226KE15L    , 100
Murata                  , GRM32ER71A476KE15L    , 100
AVX                     , TAJA105K035RNJ        , 100
AVX                     , TAJA106K016RNJ        , 100
Sprague                 , 293D226X9020D2TE3     , 100
Sprague                 , 293D476X9016D2TE3     , 100
Sprague                 , 293D107X9010D2TE3     , 100
Murata                  , LQG15HN2N2S02D        , 100
Panasonic               , ELJ-FA100KF           , 100
Murata                  , BLM18AG121SN1D        , 100
Bourns                  , CAY16-221J4LF         , 100
Bourns                  , CAY16-102J4LF         , 100
Bourns                  , CAY16-103J4LF         , 100
Avago                   , HSMG-C190             , 100
Avago                   , HSMH-C190             , 100
Avago                   , HSMY-C190             , 100
Avago                   , HSMD-C190             , 100
Avago                   , HSMA-C190             , 100
Avago                   , HSMR-C190             , 100
Avago                   , HSMW-C191             , 100
Worldsemi               , WS2812B               , 100
Diodes Incorporated     , 1N4148WS-7-F          , 20
Vishay                  , SS12-E3/61T           , 20
Diodes Incorporated     , BAT54S-7-F            , 20
Diodes Incorporated     , BAS70-04-7-F          , 20
Fairchild Semiconductor , MMBT3904              , 20
Fairchild Semiconductor , MMBT3906              , 20
Diodes Inc.             , DMMT5401-7-F          , 20
Fairchild Semiconductor , BSS138                , 20
Fairchild Semiconductor , BSS84                 , 20
Fairchild Semiconductor , FQD13N06LTM           , 20
Murata                  , CSTCE16M0V53-R0       , 20
Abracon                 , ABM3B-8.000MHZ-B2-T   , 20
Abracon                 , ABM3B-12.000MHZ-B2-T  , 20
Abracon                 , ABM3B-12.288MHZ-B2-T  , 20
Abracon                 , ABM3B-16.000MHZ-B2-T  , 20
Abracon                 , ABM3B-20.000MHZ-B2-T  , 20
Abracon                 , ABM3B-24.000MHZ-B2-T  , 20
Switchcraft             , RASM722X              , 10
Molex                   , 5031821852            , 10
Molex                   , 503500-0991           , 10
Hirose                  , UX60-MB-5ST           , 10
FCI                     , 10103594-0001LF       , 10
Molex                   , 480-37-1000           , 10
FCI                     , 61729-1011BLF         , 10
FCI                     , 10029449-001RLF       , 10
Switchcraft             , 35RASMT4BHNTRX        , 10
Switchcraft             , PJRAN1X1U01X          , 10
Pulse                   , J00-0065NL            , 10
Hirose                  , U.FL-R-SMT(10)        , 10
FCI                     , 68786-202LF           , 10
TE Connectivity         , 5-534237-8            , 10
TE Connectivity         , 9-146281-0            , 10
FCI                     , 95278-101A06LF        , 10
MPD                     , BA2032SM              , 10
JST                     , B2P-VH(LF)(SN)        , 10
JST                     , VHR-2N                , 10
JST                     , B3P-VH(LF)(SN)        , 10
JST                     , VHR-3N                , 10
JST                     , SVH-21T-P1.1          , 10
JST                     , S2B-XH-A(LF)(SN)      , 10
JST                     , XHP-2                 , 10
JST                     , S3B-XH-A(LF)(SN)      , 10
